trip_id,timestamp,elapsed_seconds,audio_level_db,audio_classification,sustained_duration_sec
TRIP_8a13be,2026-03-07 23:21:31.439908,0,68.87121567033793,normal,6
TRIP_8a13be,2026-03-07 23:21:32.752323,60,86.58557084795463,loud,16
TRIP_8a13be,2026-03-07 23:21:33.488455,120,73.94957237301564,normal,30
TRIP_8a13be,2026-03-07 23:21:34.759555,180,60.07387268072323,normal,3
TRIP_8a13be,2026-03-07 23:21:35.441862,240,59.01037227422839,normal,12
TRIP_8a13be,2026-03-07 23:21:36.771413,300,59.661649185357405,normal,26
TRIP_8a13be,2026-03-07 23:21:37.446367,360,83.48564058163113,loud,19
TRIP_8a13be,2026-03-07 23:21:38.761665,420,81.37401151089895,loud,12
TRIP_8a13be,2026-03-07 23:21:39.442200,480,87.18375834916206,loud,10
TRIP_8a13be,2026-03-07 23:21:40.756829,540,70.34090262121299,normal,5
TRIP_8a13be,2026-03-07 23:21:41.469562,600,71.64964297999552,conversation,19
TRIP_8a13be,2026-03-07 23:21:42.751011,660,72.43955497726505,normal,15
TRIP_8a13be,2026-03-07 23:21:43.440973,720,74.07769812286679,conversation,20
TRIP_8a13be,2026-03-07 23:21:44.752565,780,56.96419977773056,normal,12
TRIP_8a13be,2026-03-07 23:21:45.440942,840,77.12321629128792,conversation,24
TRIP_8a13be,2026-03-07 23:21:46.757032,900,71.40514983234603,normal,2
TRIP_8a13be,2026-03-07 23:21:47.674556,960,65.49165778028357,normal,26
TRIP_8a13be,2026-03-07 23:21:48.749795,1020,79.25751340468096,conversation,15
TRIP_8a13be,2026-03-07 23:21:49.440794,1080,61.72071342701694,normal,8
TRIP_8a13be,2026-03-07 23:21:50.749825,1140,60.933037288855424,normal,0
TRIP_8a13be,2026-03-07 23:21:51.440356,1200,81.39925901382047,loud,20
TRIP_8a13be,2026-03-07 23:21:52.757024,1260,65.25657420342019,normal,18
TRIP_8a13be,2026-03-07 23:21:53.438225,1320,66.11111225159163,normal,28
TRIP_8a13be,2026-03-07 23:21:54.765925,1380,73.25589039401686,conversation,17
TRIP_8a13be,2026-03-07 23:21:55.439619,1440,79.04169524874105,conversation,26
TRIP_8a13be,2026-03-07 23:21:56.751234,1500,56.35576677165597,normal,11
TRIP_8a13be,2026-03-07 23:21:57.446462,1560,68.73134129937885,normal,14
TRIP_8a13be,2026-03-07 23:21:58.761453,1620,63.920144561399326,normal,25
TRIP_8a13be,2026-03-07 23:21:59.441726,1680,88.54602296133316,loud,7
TRIP_8a13be,2026-03-07 23:22:00.760607,1740,58.4021106280266,normal,4
TRIP_8a13be,2026-03-07 23:22:01.447005,1800,63.860287278565416,normal,9
TRIP_8a13be,2026-03-07 23:22:02.758850,1860,73.01605409543008,normal,3
TRIP_8a13be,2026-03-07 23:22:03.443857,1920,73.49432318077187,normal,20
TRIP_8a13be,2026-03-07 23:22:04.748685,1980,63.911390896171625,normal,28
TRIP_8a13be,2026-03-07 23:22:05.755846,2040,78.85421204768919,conversation,29
