trip_id,timestamp,elapsed_seconds,audio_level_db,audio_classification,sustained_duration_sec
TRIP_98b9e4,2026-03-07 18:23:06.328142,0,72.80758504200077,normal,5
TRIP_98b9e4,2026-03-07 18:23:07.327250,60,72.52629933830829,normal,10
TRIP_98b9e4,2026-03-07 18:23:08.322799,120,80.00216361765756,loud,22
TRIP_98b9e4,2026-03-07 18:23:09.328831,180,71.52244772740679,normal,6
TRIP_98b9e4,2026-03-07 18:23:10.333401,240,68.15391064637518,normal,4
TRIP_98b9e4,2026-03-07 18:23:11.330559,300,56.44152409208101,normal,25
TRIP_98b9e4,2026-03-07 18:23:12.327818,360,67.18634825780661,normal,25
TRIP_98b9e4,2026-03-07 18:23:13.326884,420,69.34189060893863,normal,10
TRIP_98b9e4,2026-03-07 18:23:14.325088,480,57.38420477203068,normal,27
TRIP_98b9e4,2026-03-07 18:23:15.323182,540,65.18564019277622,normal,25
TRIP_98b9e4,2026-03-07 18:23:16.333635,600,67.63776200711833,normal,26
TRIP_98b9e4,2026-03-07 18:23:17.328717,660,89.44735690578693,loud,0
TRIP_98b9e4,2026-03-07 18:23:18.327476,720,66.16438092015211,normal,16
TRIP_98b9e4,2026-03-07 18:23:19.324272,780,56.920419231973455,normal,30
TRIP_98b9e4,2026-03-07 18:23:20.324350,840,64.6011398453861,normal,9
TRIP_98b9e4,2026-03-07 18:23:21.324543,900,58.36840444342526,normal,13
TRIP_98b9e4,2026-03-07 18:23:22.323299,960,97.90891503468336,argument,9
TRIP_98b9e4,2026-03-07 18:23:23.330353,1020,56.52599447747242,normal,6
TRIP_98b9e4,2026-03-07 18:23:24.327799,1080,76.77624122166851,conversation,18
TRIP_98b9e4,2026-03-07 18:23:25.326252,1140,75.6285632522041,conversation,18
TRIP_98b9e4,2026-03-07 18:23:26.325063,1200,70.99346966460544,conversation,9
TRIP_98b9e4,2026-03-07 18:23:27.323482,1260,56.13192837848521,normal,6
TRIP_98b9e4,2026-03-07 18:23:28.331662,1320,78.18097844256033,conversation,5
TRIP_98b9e4,2026-03-07 18:23:29.331961,1380,65.20121753783499,normal,16
TRIP_98b9e4,2026-03-07 18:23:30.328502,1440,72.3147363840531,normal,6
TRIP_98b9e4,2026-03-07 18:23:31.327250,1500,61.79313553358593,normal,22
TRIP_98b9e4,2026-03-07 18:23:32.325556,1560,81.78420338417305,loud,27
TRIP_98b9e4,2026-03-07 18:23:33.327831,1620,66.0136833590367,normal,29
TRIP_98b9e4,2026-03-07 18:23:34.333034,1680,57.423287598224825,normal,16
TRIP_98b9e4,2026-03-07 18:23:35.329792,1740,75.37836310959281,conversation,12
TRIP_98b9e4,2026-03-07 18:23:36.326541,1800,68.46288768189046,normal,16
TRIP_98b9e4,2026-03-07 18:23:37.324978,1860,63.77657807393851,normal,2
TRIP_98b9e4,2026-03-07 18:23:38.325711,1920,65.7250063359944,normal,25
