trip_id,timestamp,accel_x,accel_y,accel_z,speed_kmh,accel_magnitude,delta_speed,delta_time,speed_change_rate,start_datetime,end_datetime
TRIP001,2024-02-06 06:01:40,2.7,1.5,9.6,57.0,10.084641788382967,,,,2024-02-06 06:45:00,2024-02-06 07:03:00
TRIP001,2024-02-06 06:12:00,1.0,0.8,9.7,53.0,9.78417088975862,-4.0,620.0,-0.0064516129032258,2024-02-06 06:45:00,2024-02-06 07:03:00
TRIP001,2024-02-06 06:12:48,1.3,1.5,8.6,44.0,8.82609766544649,-9.0,48.0,-0.1875,2024-02-06 06:45:00,2024-02-06 07:03:00
TRIP001,2024-02-06 06:13:48,2.2,1.7,9.7,39.0,10.090589675534329,-5.0,60.0,-0.0833333333333333,2024-02-06 06:45:00,2024-02-06 07:03:00
TRIP001,2024-02-06 06:15:42,2.5,1.8,8.6,54.0,9.135097153287424,15.0,114.0,0.131578947368421,2024-02-06 06:45:00,2024-02-06 07:03:00
TRIP001,2024-02-06 06:19:49,2.9,0.6,8.6,27.0,9.095603333479312,-27.0,247.0,-0.1093117408906882,2024-02-06 06:45:00,2024-02-06 07:03:00
TRIP001,2024-02-06 06:45:00,0.2,0.1,9.8,0.0,9.802550688468791,-27.0,1511.0,-0.0178689609530112,2024-02-06 06:45:00,2024-02-06 07:03:00
TRIP001,2024-02-06 06:45:30,0.8,0.3,9.7,25.0,9.73755616158387,25.0,30.0,0.8333333333333334,2024-02-06 06:45:00,2024-02-06 07:03:00
TRIP001,2024-02-06 06:46:00,1.2,0.5,9.6,38.0,9.687620966986684,13.0,30.0,0.4333333333333333,2024-02-06 06:45:00,2024-02-06 07:03:00
TRIP001,2024-02-06 06:46:30,0.4,0.2,9.7,42.0,9.710303805751908,4.0,30.0,0.1333333333333333,2024-02-06 06:45:00,2024-02-06 07:03:00
TRIP001,2024-02-06 06:55:00,0.3,0.1,9.8,45.0,9.805100713404224,3.0,510.0,0.0058823529411764,2024-02-06 06:45:00,2024-02-06 07:03:00
TRIP001,2024-02-06 07:02:30,2.1,1.2,8.9,18.0,9.222797840135064,-27.0,450.0,-0.06,2024-02-06 06:45:00,2024-02-06 07:03:00
TRIP001,2024-02-06 07:03:00,0.2,0.1,9.8,0.0,9.802550688468791,-18.0,30.0,-0.6,2024-02-06 06:45:00,2024-02-06 07:03:00
TRIP002,2024-02-06 06:00:15,0.7,1.9,9.5,48.0,9.713392816107048,,,,2024-02-06 07:15:00,2024-02-06 07:38:00
TRIP002,2024-02-06 06:02:43,2.6,1.7,9.0,29.0,9.521029356114813,-19.0,148.0,-0.1283783783783783,2024-02-06 07:15:00,2024-02-06 07:38:00
TRIP002,2024-02-06 06:02:47,1.2,0.2,9.7,53.0,9.775990998359196,24.0,4.0,6.0,2024-02-06 07:15:00,2024-02-06 07:38:00
TRIP002,2024-02-06 06:08:00,2.7,0.4,9.1,42.0,9.500526301210895,-11.0,313.0,-0.0351437699680511,2024-02-06 07:15:00,2024-02-06 07:38:00
TRIP002,2024-02-06 06:19:16,0.7,1.7,9.2,37.0,9.381897462667132,-5.0,676.0,-0.007396449704142,2024-02-06 07:15:00,2024-02-06 07:38:00
TRIP002,2024-02-06 06:22:00,2.6,1.7,9.3,32.0,9.805100713404224,-5.0,164.0,-0.0304878048780487,2024-02-06 07:15:00,2024-02-06 07:38:00
TRIP002,2024-02-06 07:15:00,0.3,0.2,9.8,0.0,9.806630410084802,-32.0,3180.0,-0.010062893081761,2024-02-06 07:15:00,2024-02-06 07:38:00
TRIP002,2024-02-06 07:15:30,1.1,0.6,9.5,32.0,9.582275303913992,32.0,30.0,1.0666666666666669,2024-02-06 07:15:00,2024-02-06 07:38:00
TRIP002,2024-02-06 07:16:00,0.5,0.3,9.7,48.0,9.717509969122748,16.0,30.0,0.5333333333333333,2024-02-06 07:15:00,2024-02-06 07:38:00
TRIP002,2024-02-06 07:22:00,4.2,3.1,7.2,28.0,8.89325587172662,-20.0,360.0,-0.0555555555555555,2024-02-06 07:15:00,2024-02-06 07:38:00
TRIP002,2024-02-06 07:22:30,5.8,4.3,5.9,12.0,9.324162160752032,-16.0,30.0,-0.5333333333333333,2024-02-06 07:15:00,2024-02-06 07:38:00
TRIP002,2024-02-06 07:23:00,6.2,5.1,5.1,5.0,9.511046209539726,-7.0,30.0,-0.2333333333333333,2024-02-06 07:15:00,2024-02-06 07:38:00
TRIP002,2024-02-06 07:23:30,3.8,2.9,7.8,18.0,9.148223871331528,13.0,30.0,0.4333333333333333,2024-02-06 07:15:00,2024-02-06 07:38:00
TRIP002,2024-02-06 07:24:00,2.1,1.5,8.9,32.0,9.266606714434362,14.0,30.0,0.4666666666666667,2024-02-06 07:15:00,2024-02-06 07:38:00
